acc_num,protein,date,country,host,strain,isolate
KC477185_1,coat_protein,14_Sep_2010,China,grape_cultivar_Merlot,no_value,YN_5
KC477186_1,coat_protein,20_Jul_2011,China,grape_cultivar_Gold_Finger,no_value,ZJ_1
KC477187_1,coat_protein,05_Jul_2011,China,grape_cultivar_Kyoho,no_value,ZJ_2
KC477188_1,coat_protein,05_Jul_2011,China,grape_cultivar_Thompson_Seedless,no_value,ZJ_3
KC477196_1,coat_protein,Sep_2009,China,grape_cultivar_Red_Italia,no_value,NX_3
KC953879_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Tempranillo,no_value,MC20
KC953880_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Tempranillo,no_value,TAC3_4
KC953881_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Retinto,no_value,F35RE19
KC953882_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MP4_11
KC953883_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,C1
KC953884_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Tempranillo,no_value,MC34
KC953885_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,L13
KC953886_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Retinto,no_value,F35RE8
KC953887_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Tinta_Femia,no_value,TFM
KC953888_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera,no_value,3_4285
KC953889_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F2CA11
KC953890_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,GA2
KC953891_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Albarino,no_value,69A
KC953892_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Tempranillo,no_value,TAC2_9
KC953893_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Castanal,no_value,F10CAS2
KC953894_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Caino_Tinto,no_value,F2CA1
KC953895_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Brancellao,no_value,F35BR8
KC953896_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Tempranillo,no_value,TMF6_2
KC953897_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Brancellao,no_value,F40BR15
KC953898_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Brancellao,no_value,F31BR8
KC953899_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MAB11_27
KC953900_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Brancellao,no_value,F31BR3
KC953901_1,coat_protein,15_Aug_2011,Spain,Vitis_vinifera_cv_Mencia,no_value,MP8_28
