acc_num,protein,date,country,host,strain,isolate
KF013853_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Cabernet_Franc,no_value,PLCF95_413
KF013854_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Cabernet_Franc,no_value,PLCF95_413
KF594432_1,coat_protein,Sep_2012,Macedonia_Gevgelija_Avlaki,Vitis_vinifera_Vranec_variety,no_value,2
KF594433_1,coat_protein,Sep_2012,Macedonia_Valandovo_Josifovo,Vitis_vinifera_Frankovka_variety,no_value,3
KF594434_1,coat_protein,Sep_2012,Macedonia_Valandovo_Josifovo,Vitis_vinifera_Vranec_variety,no_value,4
KF594435_1,coat_protein,Sep_2012,Macedonia_Valandovo_Josifovo,Vitis_vinifera_Vranec_variety,no_value,5
KJ466321_1,coat_protein,Nov_2011,Spain,grapevine,no_value,E32_GVA
KJ466322_1,coat_protein,Nov_2011,Spain,grapevine,no_value,E41_GVA
KJ466323_1,coat_protein,Nov_2011,Spain,grapevine,no_value,E83_GVA
KJ801845_1,coat_protein,25_Jun_2013,China,grape,no_value,70_1
KJ848782_1,coat_protein,17_Feb_2014,Brazil,Vitis_labrusca_cv_Niagara_Rosada,no_value,NiagRos2
KJ848783_1,coat_protein,17_Feb_2014,Brazil,Vitis_labrusca_cv_Niagara_Rosada,no_value,NiagRos10
KP238179_1,coat_protein,Sep_2014,United_Kingdom,Vitis_vinifera,no_value,Queen_of_Esther_GVA
KP238180_1,coat_protein,Sep_2014,United_Kingdom,Vitis_vinifera,no_value,Theresa_GVA
KT946648_1,coat_protein,Jan_2015,China,Vitis_vinifera_cv_Shine_Muscat,no_value,NNWQ_3
KX348547_1,coat_protein,Sep_2014,Russia,Vitis_vinifera,no_value,V58
KX348548_1,coat_protein,Sep_2014,Russia,Vitis_vinifera,no_value,V60
KX828703_1,coat_protein,17_Mar_2015,Brazil,Vitis_vinifera_cv_Trajadura_grapevine_,no_value,TRAJ2_BR
LC387465_1,coat_protein,2016_06,South_Korea,Vitis_spp_,KGA,no_value
LK937667_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,K4
LK937668_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,K12
LK937669_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,T2_11
LK937670_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,D9
LK937671_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,P4_11
LK937672_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,F15
LK937673_1,coat_protein,03_AUG_2016,Greece_Cycladic_islands,no_value,no_value,5Y
LK937674_1,coat_protein,03_AUG_2016,Greece_Thessaloniki,no_value,no_value,64
LK937675_1,coat_protein,03_AUG_2016,Greece_Nemea,no_value,no_value,72_1
LK937676_1,coat_protein,03_AUG_2016,Greece_Thessaloniki,no_value,no_value,73
LK937677_1,coat_protein,03_AUG_2016,Greece_Nemea,no_value,no_value,75_1
LK937678_1,coat_protein,03_AUG_2016,Greece_Nemea,no_value,no_value,89_3
LK937679_1,coat_protein,03_AUG_2016,Greece_Nemea,no_value,no_value,95_4
LK937680_1,coat_protein,03_AUG_2016,Greece_Athens,no_value,no_value,P14
MF446634_1,coat_protein,May_2014,Hungary_Sopron,grapevine_cultivar_Kekfrankos,no_value,GVA_HUTK
MF446635_1,coat_protein,2014,Hungary_Balaton,grapevine_cultivar_Pearl_of_Csaba,no_value,GVA_HUCS
MF446636_1,coat_protein,May_2014,Hungary_Tokaj_Szegilong,grapevine_cultivar_Furmint,no_value,GVA_HUSZHT
MF446637_1,coat_protein,May_2014,Hungary_Tokaj_Bodrogkisfalud,grapevine_cultivar,no_value,GVA_HUBV
MF497537_1,coat_protein,May_2014,Hungary_Tokaj_Erdobenye,grapevine_cultivar_Furmint,no_value,GVA_HUDF
MF979533_1,coat_protein,Aug_2015,Croatia,Vitis_vinifera_cv_Babica,no_value,VB_108
